column,friends_d3,class_users_d0_3,grade_users_d0_3,class_active_users_d0_3,grade_active_users_d0_3,received_vote_yn_d0_3,received_vote_count_d0_3,received_vote_days_d0_3,first_received_vote_day_d0_3,point_use_after_received_vote_yn_d0_3,point_use_after_received_vote_count_d0_3,sent_vote_experience_d0_3,sent_vote_count_d0_3,sent_vote_complete_count_d0_3,sent_vote_active_days_d0_3,sent_vote_distinct_chosen_users_d0_3,sent_vote_distinct_questions_d0_3,sent_vote_complete_rate_d0_3,returned_d4_28,paid_d4_28,payment_count_d4_28,active_days_d4_28,bought_hearts_d4_28
friends_d3,1.0,0.3513351940124317,0.30610582157603067,0.08396379334189535,0.07209117371961246,0.053115101564645786,0.05328792651678849,0.053168864345523065,0.031965961504373926,0.032876921145214025,0.03295132304904143,0.029739715945919242,0.029853695272268325,0.02991036689860467,0.029794813880543454,0.029971848289633177,0.029852506079211198,0.02976042548577173,0.0008739309943985602,-0.002579827361445231,-0.002569215262622629,-0.004469487704392914,-0.002559496151512161
class_users_d0_3,0.3513351940124317,1.0,0.5928947935636537,0.24548629421988552,0.20138288289647402,0.055575354374204994,0.055878246649698676,0.05580187247021734,0.021332234013636597,0.06094573267219735,0.060976094118996745,0.062295520958886456,0.062346230975914074,0.0623787690849024,0.062334441651808334,0.06235166689871262,0.06234573965012894,0.062324605825193495,0.03356910634240372,-0.02552583340127038,-0.025522215435026963,0.03697971585266503,-0.025563816239575026
grade_users_d0_3,0.30610582157603067,0.5928947935636537,1.0,0.05466254715505824,0.15127655069340418,0.1303788027342178,0.13078723666685957,0.13070513128681716,0.06063505945748489,0.1175859810932523,0.11758498872724593,0.12308657841428478,0.12311005541288182,0.12306326719840216,0.12311067463108442,0.12311768487971718,0.12310830947469731,0.1230476983955191,-0.03840460362712453,-0.038956544823957995,-0.0391057708741373,-0.03665103882538521,-0.03912300627222911
class_active_users_d0_3,0.08396379334189535,0.24548629421988552,0.05466254715505824,1.0,0.7675148297246422,0.09712207304820576,0.09821976299101472,0.0979460077271396,0.009914979245863898,0.16377234114009054,0.1637770293923175,0.17149896236329834,0.1715137717905646,0.17140809809213164,0.17151086733313423,0.17151583607625442,0.1715135845739193,0.17138721910158902,0.10658030971498936,-0.03623865570139209,-0.03613990218998847,0.13871348765053557,-0.03620733596308687
grade_active_users_d0_3,0.07209117371961246,0.20138288289647402,0.15127655069340418,0.7675148297246422,1.0,0.07665587265207664,0.07768090546271401,0.07742218452070469,0.0020508138331426545,0.1448285114188004,0.14482837728678388,0.15248792023829613,0.1524914291572112,0.152394715154615,0.1524913880871339,0.15249205641021799,0.1524913234144674,0.15238823452098815,0.1275481564176519,-0.05510239793514501,-0.05501324235468662,0.15924533519731623,-0.055096065935521917
received_vote_yn_d0_3,0.053115101564645786,0.055575354374204994,0.1303788027342178,0.09712207304820576,0.07665587265207664,1.0,0.999951932972822,0.9999581600155052,0.6278018194858224,0.6129733223520636,0.6129691249672296,0.6413487580494833,0.6413786647064589,0.6410931188918322,0.6413752050539883,0.6413817095033271,0.6413784735211806,0.6410406313781594,-0.024778339993640944,-0.0042606963652317385,-0.004299291552392442,0.04586765419606291,-0.004303272066278155
received_vote_count_d0_3,0.05328792651678849,0.055878246649698676,0.13078723666685957,0.09821976299101472,0.07768090546271401,0.999951932972822,1.0,0.9999846621203273,0.6233178517396357,0.6187430790647539,0.6187450143662622,0.6469985116931148,0.6470364604885687,0.6467540433996045,0.6470296370062796,0.6470412759931119,0.6470361842398702,0.6466914486315671,-0.02478884402886323,-0.004277776908126097,-0.004316173455776674,0.04652815250867472,-0.0043203983718569285
received_vote_days_d0_3,0.053168864345523065,0.05580187247021734,0.13070513128681716,0.0979460077271396,0.07742218452070469,0.9999581600155052,0.9999846621203273,1.0,0.6221728292077241,0.6172390471778404,0.6172369178539479,0.6455729084420542,0.6456065662101903,0.6453207921376376,0.6456040360629881,0.6456094489295081,0.6456063670039596,0.6452640484114283,-0.024804668063426516,-0.004286207605579436,-0.004324604539152665,0.04632308035617885,-0.004328785561571177
first_received_vote_day_d0_3,0.031965961504373926,0.021332234013636597,0.06063505945748489,0.009914979245863898,0.0020508138331426545,0.6278018194858224,0.6233178517396357,0.6221728292077241,1.0,0.11178897667273778,0.11161897441145742,0.13181852938359256,0.1315452834758632,0.13119279861701064,0.13138413788333025,0.13158719479432818,0.13154517865624282,0.13145742954370024,-0.011901763566874071,0.0008304959151024701,0.0007734155078264465,0.0027399934425242616,0.0007840429841512259
point_use_after_received_vote_yn_d0_3,0.032876921145214025,0.06094573267219735,0.1175859810932523,0.16377234114009054,0.1448285114188004,0.6129733223520636,0.6187430790647539,0.6172390471778404,0.11178897667273778,1.0,0.9999931524184155,0.9401161741700147,0.9406088451190205,0.9409834487361821,0.9405017264858577,0.9405754949094057,0.9406102277377677,0.9403274724514408,-0.011023245051524131,-0.002601534851645935,-0.0026249764894524436,0.09582670261532328,-0.002640805589390105
point_use_after_received_vote_count_d0_3,0.03295132304904143,0.060976094118996745,0.11758498872724593,0.1637770293923175,0.14482837728678388,0.6129691249672296,0.6187450143662622,0.6172369178539479,0.11161897441145742,0.9999931524184155,1.0,0.9401417120027225,0.940642985422417,0.9410186531138971,0.9405315626301369,0.9406082043463013,0.9406446610621654,0.940352903099759,-0.010969874766720886,-0.0025829413210139377,-0.0026062664357231428,0.09586578790988469,-0.002622204998333654
sent_vote_experience_d0_3,0.029739715945919242,0.062295520958886456,0.12308657841428478,0.17149896236329834,0.15248792023829613,0.6413487580494833,0.6469985116931148,0.6455729084420542,0.13181852938359256,0.9401161741700147,0.9401417120027225,1.0,0.9999914332741715,0.9993390666475256,0.9999935449404902,0.999991436538675,0.999991433313514,0.9993390782421555,-0.01404536083117358,-0.003884644789141372,-0.0039112950013035705,0.09645114757645126,-0.003926212647565662
sent_vote_count_d0_3,0.029853695272268325,0.062346230975914074,0.12311005541288182,0.1715137717905646,0.1524914291572112,0.6413786647064589,0.6470364604885687,0.6456065662101903,0.1315452834758632,0.9406088451190205,0.940642985422417,0.9999914332741715,1.0,0.9993556733847658,0.9999944730193655,0.9999960620674267,0.9999999179561242,0.9993370432779274,-0.013989551475821265,-0.003873302795442855,-0.0038998964253243915,0.09655178665605951,-0.003915031664811849
sent_vote_complete_count_d0_3,0.02991036689860467,0.0623787690849024,0.12306326719840216,0.17140809809213164,0.152394715154615,0.6410931188918322,0.6467540433996045,0.6453207921376376,0.13119279861701064,0.9409834487361821,0.9410186531138971,0.9993390666475256,0.9993556733847658,1.0,0.9993500244290591,0.9993521297331623,0.9993556832453873,0.9999820305651972,-0.013901971333509533,-0.003852902260957197,-0.0038795124005951763,0.09666246448829834,-0.003894657951326436
sent_vote_active_days_d0_3,0.029794813880543454,0.062334441651808334,0.12311067463108442,0.17151086733313423,0.1524913880871339,0.6413752050539883,0.6470296370062796,0.6456040360629881,0.13138413788333025,0.9405017264858577,0.9405315626301369,0.9999935449404902,0.9999944730193655,0.9993500244290591,1.0,0.9999926119264216,0.9999944634283588,0.9993392605395374,-0.014008056583282356,-0.0038819217409853555,-0.003908432779195958,0.0965298100573886,-0.003923448640867483
