feature,importance,feature_label,target_name,target_col,population,feature_set,model_type
received_vote_days_d0_3,143,D0-D3 수신 발생일수,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,140,D0-D3 발신 활동일수,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,43,수신 후 포인트 사용 여부,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
sent_vote_experience_d0_3,2,D0-D3 발신 경험 여부,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
received_vote_yn_d0_3,0,D0-D3 수신 경험 여부,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
grade_users_d0_3,2373,D0-D3 같은 학년 유저 수,paid,paid_d4_28,전체 유저,A1_관계망,LightGBM
friends_d3,2086,D3 친구 수,paid,paid_d4_28,전체 유저,A1_관계망,LightGBM
grade_active_users_d0_3,1278,D0-D3 같은 학년 활동 유저 수,paid,paid_d4_28,전체 유저,A1_관계망,LightGBM
class_users_d0_3,1228,D0-D3 같은 반 유저 수,paid,paid_d4_28,전체 유저,A1_관계망,LightGBM
class_active_users_d0_3,535,D0-D3 같은 반 활동 유저 수,paid,paid_d4_28,전체 유저,A1_관계망,LightGBM
grade_users_d0_3,2128,D0-D3 같은 학년 유저 수,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
friends_d3,2035,D3 친구 수,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
grade_active_users_d0_3,1309,D0-D3 같은 학년 활동 유저 수,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
class_users_d0_3,1123,D0-D3 같은 반 유저 수,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
class_active_users_d0_3,519,D0-D3 같은 반 활동 유저 수,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
sent_vote_complete_rate_d0_3,113,D0-D3 발신 완료율,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
sent_vote_distinct_chosen_users_d0_3,79,D0-D3 선택 고유 유저 수,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
sent_vote_distinct_questions_d0_3,62,D0-D3 고유 질문 수,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
sent_vote_complete_count_d0_3,59,D0-D3 완료 발신 수,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
sent_vote_count_d0_3,57,D0-D3 발신 투표 수,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
sent_vote_active_days_d0_3,16,D0-D3 발신 활동일수,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
sent_vote_experience_d0_3,0,D0-D3 발신 경험 여부,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
grade_users_d0_3,2163,D0-D3 같은 학년 유저 수,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
friends_d3,1942,D3 친구 수,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
class_users_d0_3,1162,D0-D3 같은 반 유저 수,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
grade_active_users_d0_3,1102,D0-D3 같은 학년 활동 유저 수,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
class_active_users_d0_3,543,D0-D3 같은 반 활동 유저 수,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
received_vote_count_d0_3,286,D0-D3 수신 Ping 수,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
point_use_after_received_vote_count_d0_3,167,수신 후 포인트 사용 횟수,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
first_received_vote_day_d0_3,54,첫 수신 발생일,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
received_vote_days_d0_3,43,D0-D3 수신 발생일수,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
received_vote_yn_d0_3,26,D0-D3 수신 경험 여부,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
point_use_after_received_vote_yn_d0_3,12,수신 후 포인트 사용 여부,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
grade_users_d0_3,2020,D0-D3 같은 학년 유저 수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
friends_d3,1901,D3 친구 수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
grade_active_users_d0_3,1191,D0-D3 같은 학년 활동 유저 수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
class_users_d0_3,1083,D0-D3 같은 반 유저 수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
class_active_users_d0_3,464,D0-D3 같은 반 활동 유저 수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
received_vote_count_d0_3,233,D0-D3 수신 Ping 수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
sent_vote_complete_rate_d0_3,115,D0-D3 발신 완료율,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
point_use_after_received_vote_count_d0_3,94,수신 후 포인트 사용 횟수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
sent_vote_count_d0_3,87,D0-D3 발신 투표 수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
sent_vote_distinct_questions_d0_3,78,D0-D3 고유 질문 수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
sent_vote_distinct_chosen_users_d0_3,68,D0-D3 선택 고유 유저 수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
first_received_vote_day_d0_3,43,첫 수신 발생일,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
sent_vote_complete_count_d0_3,42,D0-D3 완료 발신 수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
