row_count,positive_count,positive_rate,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,task,target_name,target_col,population,feature_set,feature_count,model_type,train_row_count,test_row_count,target_mean,target_median,target_positive_rate,mae,rmse,r2
194559,85661.0,0.4402828961908727,0.5,0.5517041103212907,0.4909824971368416,0.49546468054307097,0.493213405847627,0.5622824410014577,0.4927360428168833,classification,returned,returned_d4_28,전체 유저,환경축 only,5,Baseline Logistic,453970,194559,,,,,,
194559,85661.0,0.4402828961908727,0.5,0.5735792227550511,0.5132902971467994,0.607989633555527,0.5566409798745231,0.6030173640711555,0.5295326328945684,classification,returned,returned_d4_28,전체 유저,환경축 only,5,LightGBM,453970,194559,,,,,,
194559,8405.0,0.043200263159247326,0.5,0.4834009220853314,0.05134250418923658,0.627007733491969,0.09491305639852678,0.5757174819538315,0.057551934751187285,classification,paid,paid_d4_28,전체 유저,환경축 only,5,Baseline Logistic,453970,194559,,,,,,
194559,8405.0,0.043200263159247326,0.5,0.5569981342420551,0.05678567765609509,0.5928613920285545,0.10364407837264446,0.6056968989943573,0.06462380768978082,classification,paid,paid_d4_28,전체 유저,환경축 only,5,LightGBM,453970,194559,,,,,,
194559,,,,,,,,,,regression,active_days,active_days_d4_28,전체 유저,환경축 only,5,Baseline Poisson,453970,194559,2.1842885705621433,0.0,0.45986564486865167,2.616461436479207,3.6694130133025844,0.02665450307435746
194559,,,,,,,,,,regression,active_days,active_days_d4_28,전체 유저,환경축 only,5,LightGBM,453970,194559,2.1842885705621433,0.0,0.45986564486865167,2.56993545475896,3.6158570396201557,0.05485958755148945
194559,,,,,,,,,,regression,payment_count,payment_count_d4_28,전체 유저,환경축 only,5,Baseline Poisson,453970,194559,0.06445345627804419,0.0,0.0428456149548466,0.12410239857667472,0.40581853944676005,0.002120458879875775
194559,,,,,,,,,,regression,payment_count,payment_count_d4_28,전체 유저,환경축 only,5,LightGBM,453970,194559,0.06445345627804419,0.0,0.0428456149548466,0.12347488823520794,0.4053296395910693,0.00452335202404075
194559,,,,,,,,,,regression,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 only,5,Baseline Poisson,453970,194559,52.46211175016319,0.0,0.0428456149548466,99.38051088635493,434.21101068775664,0.0013259611782862057
194559,,,,,,,,,,regression,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 only,5,LightGBM,453970,194559,52.46211175016319,0.0,0.0428456149548466,98.85820879205988,434.30304310582625,0.0009025719746762473
194559,85661.0,0.4402828961908727,0.5,0.5618295735483838,0.5024783819964543,0.4863823677052568,0.4942993747701361,0.5734860216951472,0.5023850432425404,classification,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,18,Baseline Logistic,453970,194559,,,,,,
194559,85661.0,0.4402828961908727,0.5,0.5736152015583962,0.5132725987591298,0.6103594401186071,0.5576216504466072,0.6038867692075711,0.5306073055272811,classification,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,18,LightGBM,453970,194559,,,,,,
194559,8405.0,0.043200263159247326,0.5,0.4727357768080634,0.051473039519178566,0.6429506246281975,0.09531536616339777,0.5815565204957148,0.05788264133564567,classification,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,18,Baseline Logistic,453970,194559,,,,,,
194559,8405.0,0.043200263159247326,0.5,0.5548651051866015,0.05648820326678766,0.5925044616299822,0.1031429607000466,0.6055643601537409,0.06431345876775958,classification,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,18,LightGBM,453970,194559,,,,,,
194559,,,,,,,,,,regression,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,18,Baseline Poisson,453970,194559,2.1842885705621433,0.0,0.45986564486865167,2.6131756214022688,3.6644120686327226,0.029305788151472556
194559,,,,,,,,,,regression,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,18,LightGBM,453970,194559,2.1842885705621433,0.0,0.45986564486865167,2.5648749313236228,3.60740140408602,0.05927481661119249
194559,,,,,,,,,,regression,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,18,Baseline Poisson,453970,194559,0.06445345627804419,0.0,0.0428456149548466,0.1240954390163067,0.4058249957699578,0.0020887073286142144
194559,,,,,,,,,,regression,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,18,LightGBM,453970,194559,0.06445345627804419,0.0,0.0428456149548466,0.123468588795797,0.40525149209540867,0.004907170526777693
194559,,,,,,,,,,regression,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,18,Baseline Poisson,453970,194559,52.46211175016319,0.0,0.0428456149548466,99.32927727863571,434.19877221539707,0.0013822567215785453
