event_key,count,mean,median,p75,p90,max
click_friend_invite,2118,1.5207743153918791,1.0,2.0,2.0,47
click_invite_friend,653,1.6140888208269526,1.0,2.0,3.0,42
click_question_share,10283,6.7335407954876985,2.0,4.0,12.0,436
