sender_group,excluded_candidate_user_count,user_count_base,retention_d1_28_rate_base,retention_d8_28_rate_base,payment_d0_28_rate_base,payment_d8_28_rate_base,payment_d0_28_count_mean_base,payment_d0_28_count_paid_user_mean_base,payment_d0_28_amount_mean_base,payment_d0_28_amount_paid_user_mean_base,active_days_d0_28_mean_base,active_days_d0_28_active_user_mean_base,sent_vote_count_d0_7_mean_base,sent_vote_count_d0_7_sender_mean_base,user_count_extreme_excluded,retention_d1_28_rate_extreme_excluded,retention_d8_28_rate_extreme_excluded,payment_d0_28_rate_extreme_excluded,payment_d8_28_rate_extreme_excluded,payment_d0_28_count_mean_extreme_excluded,payment_d0_28_count_paid_user_mean_extreme_excluded,payment_d0_28_amount_mean_extreme_excluded,payment_d0_28_amount_paid_user_mean_extreme_excluded,active_days_d0_28_mean_extreme_excluded,active_days_d0_28_active_user_mean_extreme_excluded,sent_vote_count_d0_7_mean_extreme_excluded,sent_vote_count_d0_7_sender_mean_extreme_excluded,user_count_diff,retention_d1_28_rate_diff,retention_d8_28_rate_diff,payment_d0_28_rate_diff,payment_d8_28_rate_diff,payment_d0_28_count_mean_diff,payment_d0_28_count_paid_user_mean_diff,payment_d0_28_amount_mean_diff,payment_d0_28_amount_paid_user_mean_diff,active_days_d0_28_mean_diff,active_days_d0_28_active_user_mean_diff,sent_vote_count_d0_7_mean_diff,sent_vote_count_d0_7_sender_mean_diff
보낸 투표 경험 무,0,643306,45.39,41.6,8.49,2.5,0.13,1.58,108.14,1273.28,5.25,5.36,0.0,0.0,643306,45.39,41.6,8.49,2.5,0.13,1.58,108.14,1273.28,5.25,5.36,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
보낸 투표 경험 유,0,4761,36.61,34.97,7.88,2.23,0.12,1.52,91.28,1158.95,15.05,15.05,188.61,188.61,4761,36.61,34.97,7.88,2.23,0.12,1.52,91.28,1158.95,15.05,15.05,188.61,188.61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
