metric,definition,retained_user_count,total_user_count,rate_pct
retention_d1_28,D1-D28 기간 내 1회 이상 출석,295889,677085,43.7
retention_d8_28,D8-D28 기간 내 1회 이상 출석,270788,677085,39.99
