sender_group,user_count,active_days_d0_28_mean,active_days_excl_sent_vote_d0_28_mean,active_days_d8_28_mean,active_days_excl_sent_vote_d8_28_mean,active_days_d0_28_sum,active_days_excl_sent_vote_d0_28_sum,active_days_d8_28_sum,active_days_excl_sent_vote_d8_28_sum,active_days_d0_28_active_user_count,active_days_excl_sent_vote_d0_28_active_user_count,active_days_d8_28_active_user_count,active_days_excl_sent_vote_d8_28_active_user_count,sent_vote_count_d0_7_mean,active_days_d0_28_active_user_mean,active_days_d8_28_active_user_mean,active_days_excl_sent_vote_d0_28_active_user_mean,active_days_excl_sent_vote_d8_28_active_user_mean,sent_vote_removed_gap_d0_28,sent_vote_removed_gap_d8_28
보낸 투표 경험 무,643306,5.25,5.25,1.63,1.63,3379386.0,3379286.0,1047368.0,1047268.0,630185,630185,381256,381255,0.0,5.36,2.75,5.36,2.75,0.0,0.0
보낸 투표 경험 유,4761,15.05,13.94,7.91,7.02,71649.0,66347.0,37666.0,33411.0,4761,4759,4265,4183,188.61,15.05,8.83,13.94,7.99,1.11,0.89
