analysis_axis,core_variable,base_population,sender_group,user_count,retention_d1_28_rate,retention_d8_28_rate,payment_d0_28_count_mean,payment_d8_28_count_mean,payment_d0_28_count_sum,payment_d8_28_count_sum,payment_d0_28_amount_mean,payment_d8_28_amount_mean,payment_d0_28_amount_sum,payment_d8_28_amount_sum,payment_d0_28_paid_user_count,payment_d8_28_paid_user_count,payment_d0_28_rate,payment_d8_28_rate,active_days_d0_28_mean,active_days_d8_28_mean,active_days_d0_28_sum,active_days_d8_28_sum,active_days_d0_28_active_user_count,active_days_d8_28_active_user_count,sent_vote_count_d0_7_mean,sent_vote_count_d0_3_mean,sent_vote_count_d0_7_sum,sent_vote_count_d0_3_sum,sent_vote_user_count_d0_7,sent_vote_user_count_d0_3,payment_d0_28_count_paid_user_mean,payment_d0_28_amount_paid_user_mean,payment_d8_28_count_paid_user_mean,payment_d8_28_amount_paid_user_mean,active_days_d0_28_active_user_mean,active_days_d8_28_active_user_mean,sent_vote_count_d0_3_sender_mean,sent_vote_count_d0_7_sender_mean,interpretation
발신 행동축,D0-D7 보낸 투표 경험,home_entry_population with isolated statistical extreme candidates excluded,보낸 투표 경험 무,643306,45.39,41.6,0.13,0.04,86494.0,23470.0,108.14,28.68,69566810,18449727,54636,16104,8.49,2.5,5.25,1.63,3379386.0,1047368.0,630185,381256,0.0,0.0,0.0,0.0,0,0,1.58,1273.28,1.46,1145.66,5.36,2.75,0.0,0.0,비교 기준 그룹.
발신 행동축,D0-D7 보낸 투표 경험,home_entry_population with isolated statistical extreme candidates excluded,보낸 투표 경험 유,4761,36.61,34.97,0.12,0.03,569.0,144.0,91.28,23.47,434605,111753,375,106,7.88,2.23,15.05,7.91,71649.0,37666.0,4761,4265,188.61,122.74,897957.0,584376.0,4761,4632,1.52,1158.95,1.36,1054.27,15.05,8.83,126.16,188.61,"경험 무 대비 재방문율 D1-D28 -8.8%p, 재방문율 D8-D28 -6.6%p, 결제율 D0-D28 -0.6%p, 결제율 D8-D28 -0.3%p, 전체 평균 추정 구매 하트 수 D0-D28 -16.86 차이, 결제자 평균 추정 구매 하트 수 D0-D28 -114.33 차이, 활동일 D0-D28 +9.80일 차이."
