user_id,sender_group,logical_invalid_reasons,active_days_d0_28,active_days_d8_28,payment_active_days_d0_28,payment_active_days_d8_28,sent_vote_active_days_d0,sent_vote_active_days_d0_1,sent_vote_active_days_d0_3,sent_vote_active_days_d0_7,sent_vote_active_days_d0_14,sent_vote_active_days_d0_28,hackle_question_active_days_d0_7
1578182,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
1578185,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
1578188,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1578189,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
1578194,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
1578196,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1578197,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
1578200,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
1578212,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1578213,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
1578220,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
1578222,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1578224,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
1578225,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
1578226,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
1578229,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
1578231,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578232,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
1578233,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
1578235,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1578236,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1578238,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
1578239,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
1578241,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
1578244,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
1578250,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
1578253,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
1578262,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
1578264,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1578265,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
