top_k,top_k_rate,top_n,base_positive_rate,top_positive_rate,lift,captured_positive_count,capture_rate,target_name,target_col,population,feature_set,model_type
Top 1%,0.01,33,0.3460837887067395,0.8181818181818182,2.3641148325358854,27,0.02368421052631579,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 3%,0.03,99,0.3460837887067395,0.696969696969697,2.0138755980861247,69,0.060526315789473685,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 5%,0.05,165,0.3460837887067395,0.6787878787878788,1.9613397129186605,112,0.09824561403508772,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 10%,0.1,330,0.3460837887067395,0.5515151515151515,1.5935885167464117,182,0.15964912280701754,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 1%,0.01,33,0.3460837887067395,0.6666666666666666,1.9263157894736842,22,0.01929824561403509,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 3%,0.03,99,0.3460837887067395,0.7171717171717171,2.072248803827751,71,0.062280701754385964,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 5%,0.05,165,0.3460837887067395,0.6666666666666666,1.9263157894736842,110,0.09649122807017543,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 10%,0.1,330,0.3460837887067395,0.6515151515151515,1.882535885167464,215,0.18859649122807018,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 1%,0.01,33,0.03673345476624165,0.12121212121212122,3.2997746055597297,4,0.03305785123966942,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 3%,0.03,99,0.03673345476624165,0.08080808080808081,2.19984973703982,8,0.06611570247933884,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 5%,0.05,165,0.03673345476624165,0.07878787878787878,2.144853493613824,13,0.10743801652892562,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 10%,0.1,330,0.03673345476624165,0.06060606060606061,1.6498873027798648,20,0.1652892561983471,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 1%,0.01,33,0.03673345476624165,0.0,0.0,0,0.0,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 3%,0.03,99,0.03673345476624165,0.030303030303030304,0.8249436513899324,3,0.024793388429752067,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 5%,0.05,165,0.03673345476624165,0.030303030303030304,0.8249436513899324,5,0.04132231404958678,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 10%,0.1,330,0.03673345476624165,0.02727272727272727,0.7424492862509391,9,0.0743801652892562,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
