target_col,target_label,feature,feature_label,spearman_corr,abs_corr
paid_d4_28,paid d4 28,received_vote_yn_d0_3,D0-D3 수신 경험 여부,-0.0042606963652317385,0.0042606963652317385
paid_d4_28,paid d4 28,sent_vote_experience_d0_3,D0-D3 발신 경험 여부,-0.003884644789141372,0.003884644789141372
paid_d4_28,paid d4 28,sent_vote_active_days_d0_3,D0-D3 발신 활동일수,-0.0038819217409853555,0.0038819217409853555
paid_d4_28,paid d4 28,sent_vote_distinct_questions_d0_3,D0-D3 고유 질문 수,-0.003873745212722733,0.003873745212722733
paid_d4_28,paid d4 28,sent_vote_count_d0_3,D0-D3 발신 투표 수,-0.003873302795442855,0.003873302795442855
paid_d4_28,paid d4 28,sent_vote_distinct_chosen_users_d0_3,D0-D3 선택 고유 유저 수,-0.003872372982257106,0.003872372982257106
paid_d4_28,paid d4 28,sent_vote_complete_rate_d0_3,D0-D3 발신 완료율,-0.0038667462562681832,0.0038667462562681832
paid_d4_28,paid d4 28,sent_vote_complete_count_d0_3,D0-D3 완료 발신 수,-0.003852902260957197,0.003852902260957197
paid_d4_28,paid d4 28,point_use_after_received_vote_yn_d0_3,수신 후 포인트 사용 여부,-0.002601534851645935,0.002601534851645935
paid_d4_28,paid d4 28,point_use_after_received_vote_count_d0_3,수신 후 포인트 사용 횟수,-0.0025829413210139377,0.0025829413210139377
paid_d4_28,paid d4 28,friends_d3,D3 친구 수,-0.002579827361445231,0.002579827361445231
paid_d4_28,paid d4 28,first_received_vote_day_d0_3,첫 수신 발생일,0.0008304959151024701,0.0008304959151024701
payment_count_d4_28,payment count d4 28,grade_active_users_d0_3,D0-D3 같은 학년 활동 유저 수,-0.05501324235468662,0.05501324235468662
payment_count_d4_28,payment count d4 28,grade_users_d0_3,D0-D3 같은 학년 유저 수,-0.0391057708741373,0.0391057708741373
payment_count_d4_28,payment count d4 28,class_active_users_d0_3,D0-D3 같은 반 활동 유저 수,-0.03613990218998847,0.03613990218998847
payment_count_d4_28,payment count d4 28,class_users_d0_3,D0-D3 같은 반 유저 수,-0.025522215435026963,0.025522215435026963
payment_count_d4_28,payment count d4 28,received_vote_days_d0_3,D0-D3 수신 발생일수,-0.004324604539152665,0.004324604539152665
payment_count_d4_28,payment count d4 28,received_vote_count_d0_3,D0-D3 수신 Ping 수,-0.004316173455776674,0.004316173455776674
payment_count_d4_28,payment count d4 28,received_vote_yn_d0_3,D0-D3 수신 경험 여부,-0.004299291552392442,0.004299291552392442
payment_count_d4_28,payment count d4 28,sent_vote_experience_d0_3,D0-D3 발신 경험 여부,-0.0039112950013035705,0.0039112950013035705
