top_k,top_k_rate,top_n,base_positive_rate,top_positive_rate,lift,captured_positive_count,capture_rate,target_name,target_col,population,feature_set,model_type
Top 10%,0.1,330,0.42106860959319975,0.8303030303030303,1.971894867929475,274,0.19754866618601297,high_active,high_active_d4_plus,관계 경험자,관계망 환경축,LightGBM
Top 1%,0.01,33,0.42106860959319975,0.9393939393939394,2.2309759454676543,31,0.022350396539293438,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
Top 3%,0.03,99,0.42106860959319975,0.9292929292929293,2.2069869568067118,92,0.06633020908435472,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
Top 5%,0.05,165,0.42106860959319975,0.9212121212121213,2.187795765877958,152,0.1095890410958904,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
Top 10%,0.1,330,0.42106860959319975,0.9272727272727272,2.202189159074523,306,0.220620043258832,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
Top 1%,0.01,33,0.42106860959319975,1.0,2.3749098774333093,33,0.023792357606344627,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
Top 3%,0.03,99,0.42106860959319975,0.9494949494949495,2.254964934128597,94,0.06777217015140591,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
Top 5%,0.05,165,0.42106860959319975,0.9575757575757575,2.2741561250573508,158,0.11391492429704397,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
Top 10%,0.1,330,0.42106860959319975,0.9606060606060606,2.2813528216556334,317,0.22855082912761354,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
Top 1%,0.01,1946,0.043200263159247326,0.07810894141829394,1.80806633353978,152,0.018084473527662105,paid,paid_d4_28,전체 유저,A1_관계망,Baseline Logistic
Top 3%,0.03,5837,0.043200263159247326,0.08052081548740792,1.8638964117090535,470,0.05591909577632362,paid,paid_d4_28,전체 유저,A1_관계망,Baseline Logistic
Top 5%,0.05,9728,0.043200263159247326,0.07781661184210527,1.8012994864233383,757,0.09006543723973826,paid,paid_d4_28,전체 유저,A1_관계망,Baseline Logistic
Top 10%,0.1,19456,0.043200263159247326,0.07092927631578948,1.641871394494192,1380,0.16418798334324808,paid,paid_d4_28,전체 유저,A1_관계망,Baseline Logistic
Top 1%,0.01,1946,0.043200263159247326,0.10688591983556012,2.4741960353702246,208,0.024747174301011303,paid,paid_d4_28,전체 유저,A1_관계망,LightGBM
Top 3%,0.03,5837,0.043200263159247326,0.09628233681685798,2.2287442199584855,562,0.06686496133254015,paid,paid_d4_28,전체 유저,A1_관계망,LightGBM
Top 5%,0.05,9728,0.043200263159247326,0.09046052631578948,2.093980908920129,880,0.10469958358120167,paid,paid_d4_28,전체 유저,A1_관계망,LightGBM
Top 10%,0.1,19456,0.043200263159247326,0.07838199013157894,1.8143868671040888,1525,0.18143961927424151,paid,paid_d4_28,전체 유저,A1_관계망,LightGBM
Top 1%,0.01,1946,0.043200263159247326,0.0698869475847893,1.6177435615882239,136,0.01618084473527662,paid,paid_d4_28,전체 유저,A2_관계망_발신,Baseline Logistic
Top 3%,0.03,5837,0.043200263159247326,0.0779510022271715,1.8044103560162115,455,0.05413444378346222,paid,paid_d4_28,전체 유저,A2_관계망_발신,Baseline Logistic
Top 5%,0.05,9728,0.043200263159247326,0.078125,1.8084380577037475,760,0.09042236763831053,paid,paid_d4_28,전체 유저,A2_관계망_발신,Baseline Logistic
Top 10%,0.1,19456,0.043200263159247326,0.07195723684210527,1.665666632095557,1400,0.16656751933372993,paid,paid_d4_28,전체 유저,A2_관계망_발신,Baseline Logistic
Top 1%,0.01,1946,0.043200263159247326,0.10483042137718397,2.4266153423823362,204,0.024271267102914933,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
Top 3%,0.03,5837,0.043200263159247326,0.09593969504882645,2.220812745866106,560,0.06662700773349196,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
Top 5%,0.05,9728,0.043200263159247326,0.0893297697368421,2.067806147558627,869,0.10339083878643665,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
Top 10%,0.1,19456,0.043200263159247326,0.07843338815789473,1.815576628984157,1526,0.18155859607376562,paid,paid_d4_28,전체 유저,A2_관계망_발신,LightGBM
Top 1%,0.01,1946,0.043200263159247326,0.07297019527235354,1.6891146010700573,142,0.01689470553242118,paid,paid_d4_28,전체 유저,A3_관계망_수신,Baseline Logistic
Top 3%,0.03,5837,0.043200263159247326,0.07846496487921878,1.81630756715478,458,0.0544913741820345,paid,paid_d4_28,전체 유저,A3_관계망_수신,Baseline Logistic
Top 5%,0.05,9728,0.043200263159247326,0.07822779605263158,1.8108175814638843,761,0.09054134443783463,paid,paid_d4_28,전체 유저,A3_관계망_수신,Baseline Logistic
Top 10%,0.1,19456,0.043200263159247326,0.0717516447368421,1.660907584575284,1396,0.16609161213563356,paid,paid_d4_28,전체 유저,A3_관계망_수신,Baseline Logistic
Top 1%,0.01,1946,0.043200263159247326,0.1079136690647482,2.497986381864169,210,0.024985127900059488,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
Top 3%,0.03,5837,0.043200263159247326,0.09765290388898407,2.260470116328001,570,0.0678167757287329,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
Top 5%,0.05,9728,0.043200263159247326,0.08850740131578948,2.048769957477535,861,0.1024390243902439,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
Top 10%,0.1,19456,0.043200263159247326,0.07791940789473684,1.8036790101834745,1516,0.1803688280785247,paid,paid_d4_28,전체 유저,A3_관계망_수신,LightGBM
Top 1%,0.01,1946,0.043200263159247326,0.07297019527235354,1.6891146010700573,142,0.01689470553242118,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,Baseline Logistic
Top 3%,0.03,5837,0.043200263159247326,0.0788076066472503,1.8242390412471587,460,0.054729327781082686,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,Baseline Logistic
Top 5%,0.05,9728,0.043200263159247326,0.07771381578947369,1.7989199626632018,756,0.08994646044021416,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,Baseline Logistic
Top 10%,0.1,19456,0.043200263159247326,0.07159745065789473,1.6573382989350791,1393,0.16573468173706127,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,Baseline Logistic
Top 1%,0.01,1946,0.043200263159247326,0.1079136690647482,2.497986381864169,210,0.024985127900059488,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
Top 3%,0.03,5837,0.043200263159247326,0.0974815830049683,2.2565043792818114,569,0.06769779892920881,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
Top 5%,0.05,9728,0.043200263159247326,0.08819901315789473,2.0416313861971256,858,0.10208209399167162,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
Top 10%,0.1,19456,0.043200263159247326,0.07822779605263158,1.8108175814638843,1522,0.18108268887566925,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
Top 1%,0.01,85,0.24223676383105294,0.3176470588235294,1.3113082168034207,27,0.013261296660117878,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,Baseline Logistic
Top 3%,0.03,253,0.24223676383105294,0.2648221343873518,1.0932367581167446,67,0.032907662082514735,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,Baseline Logistic
Top 5%,0.05,421,0.24223676383105294,0.2660332541567696,1.0982364937070965,112,0.0550098231827112,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,Baseline Logistic
Top 10%,0.1,841,0.24223676383105294,0.26397146254458975,1.089725020966246,222,0.10903732809430255,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,Baseline Logistic
Top 1%,0.01,85,0.24223676383105294,0.3176470588235294,1.3113082168034207,27,0.013261296660117878,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,LightGBM
Top 3%,0.03,253,0.24223676383105294,0.25691699604743085,1.0606028250386328,65,0.03192534381139489,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,LightGBM
Top 5%,0.05,421,0.24223676383105294,0.2589073634204275,1.0688194447685135,109,0.05353634577603143,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,LightGBM
Top 10%,0.1,841,0.24223676383105294,0.26397146254458975,1.089725020966246,222,0.10903732809430255,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,LightGBM
Top 1%,0.01,85,0.24223676383105294,0.2823529411764706,1.165607303825263,24,0.011787819253438114,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,Baseline Logistic
Top 3%,0.03,253,0.24223676383105294,0.2450592885375494,1.011651925421465,62,0.030451866404715127,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,Baseline Logistic
Top 5%,0.05,421,0.24223676383105294,0.2517814726840855,1.0394023958299305,106,0.05206286836935167,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,Baseline Logistic
Top 10%,0.1,841,0.24223676383105294,0.25326991676575505,1.0455469795757226,213,0.10461689587426326,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,Baseline Logistic
Top 1%,0.01,85,0.24223676383105294,0.27058823529411763,1.1170403328325436,23,0.011296660117878193,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
Top 3%,0.03,253,0.24223676383105294,0.24110671936758893,0.9953349588824091,61,0.029960707269155205,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
Top 5%,0.05,421,0.24223676383105294,0.26365795724465557,1.0884308107275689,111,0.05451866404715128,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
Top 10%,0.1,841,0.24223676383105294,0.2568370986920333,1.0602729933725639,216,0.10609037328094302,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
Top 1%,0.01,85,0.24223676383105294,0.3176470588235294,1.3113082168034207,27,0.013261296660117878,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,Baseline Logistic
Top 3%,0.03,253,0.24223676383105294,0.2608695652173913,1.0769197915776885,66,0.03241650294695481,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,Baseline Logistic
Top 5%,0.05,421,0.24223676383105294,0.24703087885985747,1.0197910298708752,104,0.05108055009823183,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,Baseline Logistic
Top 10%,0.1,841,0.24223676383105294,0.2615933412604043,1.0799076784350188,220,0.10805500982318271,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,Baseline Logistic
Top 1%,0.01,85,0.24223676383105294,0.2823529411764706,1.165607303825263,24,0.011787819253438114,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
Top 3%,0.03,253,0.24223676383105294,0.2885375494071146,1.1911385573510798,73,0.03585461689587426,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
Top 5%,0.05,421,0.24223676383105294,0.2494061757719715,1.0295967128504029,105,0.05157170923379175,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
