friend_date,status,friend_request_count,send_user_count,receive_user_count
2023-06-09,R,449,342,414
2023-06-10,A,12763,3008,8713
2023-06-10,P,14063,3667,12615
2023-06-10,R,565,441,526
2023-06-11,P,12839,3329,11209
2023-06-11,R,527,391,463
2023-06-11,A,11902,2708,7520
2023-06-12,R,352,230,333
2023-06-12,P,8792,2157,8099
2023-06-12,A,7220,1653,5393
2023-06-13,A,5363,1312,4118
2023-06-13,P,6709,1691,6297
2023-06-13,R,264,193,255
2023-06-14,A,4629,1152,3566
2023-06-14,P,6160,1512,5797
2023-06-14,R,253,176,228
2023-06-15,A,4032,1014,3165
2023-06-15,P,5408,1346,5111
2023-06-15,R,224,154,215
2023-06-16,A,3000,821,2666
2023-06-16,P,4961,1153,4753
2023-06-16,R,152,119,144
2023-06-17,P,5929,1473,5726
2023-06-17,R,215,152,205
2023-06-17,A,3388,1012,2910
2023-06-18,A,3181,892,2656
2023-06-18,P,5670,1391,5436
2023-06-18,R,173,127,164
2023-06-19,A,1633,526,1429
2023-06-19,P,2625,786,2540
2023-06-19,R,86,74,83
2023-06-20,P,2581,676,2532
2023-06-20,A,2005,530,1845
2023-06-20,R,91,73,89
2023-06-21,A,1748,602,1635
2023-06-21,P,2147,614,2053
2023-06-21,R,119,87,113
2023-06-22,P,3217,1139,3147
2023-06-22,R,184,135,179
2023-06-22,A,2426,964,2259
2023-06-23,R,117,89,113
2023-06-23,P,1760,573,1694
2023-06-23,A,1734,546,1351
2023-06-24,A,1909,746,1800
2023-06-24,P,2795,925,2708
2023-06-24,R,114,90,102
2023-06-25,A,1544,555,1448
2023-06-25,P,2256,626,2221
2023-06-25,R,63,52,61
2023-06-26,A,1033,338,944
2023-06-26,P,1402,385,1357
2023-06-26,R,54,37,54
2023-06-27,A,569,225,562
2023-06-27,P,1049,291,1045
2023-06-27,R,58,40,55
2023-06-28,R,86,49,86
2023-06-28,P,1612,349,1583
2023-06-28,A,1170,285,1086
2023-06-29,A,882,291,825
2023-06-29,P,1390,332,1345
2023-06-29,R,46,30,44
2023-06-30,A,749,252,719
2023-06-30,P,1174,304,1151
2023-06-30,R,39,32,39
2023-07-01,A,603,269,593
2023-07-01,P,1171,346,1160
2023-07-01,R,44,38,43
2023-07-02,A,731,290,710
2023-07-02,P,1420,335,1414
2023-07-02,R,61,37,55
2023-07-03,R,48,35,46
2023-07-03,P,985,228,944
2023-07-03,A,525,168,479
2023-07-04,A,489,191,480
2023-07-04,P,998,237,990
2023-07-04,R,40,28,35
2023-07-05,A,415,157,406
2023-07-05,P,876,226,854
2023-07-05,R,38,23,35
2023-07-06,A,414,155,392
2023-07-06,P,891,226,859
2023-07-06,R,40,17,40
2023-07-07,A,727,168,556
2023-07-07,P,1210,210,1118
2023-07-07,R,20,17,20
2023-07-08,R,27,19,27
2023-07-08,P,958,223,954
2023-07-08,A,405,138,404
2023-07-09,A,532,175,525
2023-07-09,P,1071,219,1053
2023-07-09,R,41,30,40
2023-07-10,A,701,195,602
2023-07-10,P,1467,255,1408
2023-07-10,R,31,26,31
2023-07-11,A,2047,390,1186
2023-07-11,P,2425,441,2243
2023-07-11,R,30,30,29
2023-07-12,A,2892,502,1439
2023-07-12,P,2353,454,2157
2023-07-12,R,47,37,42
2023-07-13,P,2571,454,2368
2023-07-13,R,50,39,40
2023-07-13,A,2680,476,1519
2023-07-14,P,2094,353,1952
2023-07-14,R,59,44,50
2023-07-14,A,2179,411,1367
2023-07-15,R,42,30,35
2023-07-15,P,1961,376,1818
2023-07-15,A,1670,343,1109
2023-07-16,A,1553,321,958
2023-07-16,P,1591,341,1491
2023-07-16,R,24,20,24
2023-07-17,A,2315,292,851
2023-07-17,P,1409,272,1225
2023-07-17,R,49,38,38
2023-07-18,A,1628,296,952
2023-07-18,P,1790,355,1674
2023-07-18,R,25,23,22
2023-07-19,A,808,203,690
2023-07-19,P,1438,218,1383
2023-07-19,R,44,30,36
2023-07-20,P,1679,350,1626
2023-07-20,R,30,26,29
2023-07-20,A,847,251,703
2023-07-21,A,692,223,612
2023-07-21,P,1364,317,1342
2023-07-21,R,13,13,12
2023-07-22,A,524,155,474
2023-07-22,P,1018,200,994
2023-07-22,R,24,17,23
2023-07-23,P,1102,237,1086
2023-07-23,A,452,141,432
2023-07-23,R,11,11,11
2023-07-24,A,473,125,373
2023-07-24,P,1148,184,1102
2023-07-24,R,16,15,14
2023-07-25,P,1127,158,1102
2023-07-25,R,19,14,19
2023-07-25,A,451,124,410
2023-07-26,R,18,15,18
2023-07-26,P,642,138,628
2023-07-26,A,225,89,209
2023-07-27,A,263,119,260
2023-07-27,P,892,189,891
2023-07-27,R,20,13,17
2023-07-28,A,446,123,419
2023-07-28,P,1257,202,1234
2023-07-28,R,12,11,11
2023-07-29,A,284,120,267
2023-07-29,P,948,192,934
2023-07-29,R,13,10,13
2023-07-30,A,156,65,151
2023-07-30,P,537,101,536
2023-07-30,R,8,7,8
2023-07-31,P,668,108,662
2023-07-31,R,9,7,8
2023-07-31,A,196,60,183
2023-08-01,A,111,52,108
2023-08-01,P,476,97,469
2023-08-01,R,13,9,13
2023-08-02,A,178,63,174
2023-08-02,P,675,99,674
2023-08-02,R,9,6,6
2023-08-03,P,493,86,492
2023-08-03,A,118,62,117
2023-08-03,R,10,9,9
2023-08-04,A,233,86,217
2023-08-04,P,753,153,729
2023-08-04,R,6,6,6
2023-08-05,P,1074,204,1066
2023-08-05,R,10,9,10
2023-08-05,A,249,99,242
2023-08-06,R,6,6,6
2023-08-06,P,1134,209,1125
2023-08-06,A,314,133,312
2023-08-07,A,192,73,174
2023-08-07,P,851,131,842
2023-08-07,R,7,6,7
2023-08-08,A,108,54,99
2023-08-08,P,523,104,513
2023-08-08,R,1,1,1
2023-08-09,A,125,65,116
2023-08-09,P,707,99,692
2023-08-09,R,6,6,6
2023-08-10,A,112,55,109
2023-08-10,P,539,93,537
2023-08-10,R,3,3,3
2023-08-11,P,291,65,290
2023-08-11,R,2,2,2
2023-08-11,A,97,33,96
2023-08-12,A,49,30,48
2023-08-12,P,306,61,305
2023-08-13,A,86,41,84
2023-08-13,P,445,70,442
2023-08-13,R,5,5,5
2023-08-14,A,91,30,90
2023-08-14,P,456,65,451
2023-08-14,R,10,4,10
2023-08-15,A,78,40,75
2023-08-15,P,433,71,433
2023-08-15,R,9,6,6
2023-08-16,R,4,4,4
2023-08-16,A,78,33,76
2023-08-16,P,471,50,471
2023-08-17,P,195,49,190
2023-08-17,R,5,5,5
2023-08-17,A,32,23,29
2023-08-18,A,141,52,138
2023-08-18,P,667,100,665
2023-08-18,R,9,7,9
2023-08-19,A,114,49,108
2023-08-19,P,408,76,404
2023-08-19,R,5,4,5
2023-08-20,R,7,4,7
2023-08-20,P,633,80,629
2023-08-20,A,115,42,113
2023-08-21,A,64,27,64
2023-08-21,P,297,37,293
2023-08-21,R,3,3,3
2023-08-22,A,62,29,61
2023-08-22,P,425,55,424
2023-08-22,R,1,1,1
2023-08-23,R,6,6,6
2023-08-23,A,59,23,58
2023-08-23,P,426,44,422
2023-08-24,A,60,23,59
2023-08-24,P,186,42,185
2023-08-25,A,46,18,45
2023-08-25,P,253,46,251
2023-08-25,R,3,3,3
2023-08-26,A,67,26,66
2023-08-26,P,398,56,396
2023-08-26,R,3,3,3
2023-08-27,R,4,3,4
2023-08-27,A,70,31,70
2023-08-27,P,435,51,435
2023-08-28,P,117,27,117
2023-08-28,R,4,4,4
2023-08-28,A,17,12,17
2023-08-29,R,1,1,1
2023-08-29,P,49,18,46
2023-08-29,A,10,6,9
2023-08-30,A,28,11,28
2023-08-30,P,202,28,202
2023-08-30,R,3,3,3
