friend_date,status,friend_request_count,send_user_count,receive_user_count
2024-02-19,A,5,4,3
2024-02-19,P,303,16,287
2024-02-19,R,5,2,5
2024-02-20,P,143,12,143
2024-02-21,A,1,1,1
2024-02-21,P,130,11,130
2024-02-21,R,1,1,1
2024-02-22,P,23,7,23
2024-02-23,A,1,1,1
2024-02-23,P,206,14,206
2024-02-24,P,64,6,64
2024-02-25,R,5,3,5
2024-02-25,P,138,12,137
2024-02-25,A,3,2,2
2024-02-26,P,153,16,152
2024-02-26,R,2,2,2
2024-02-27,P,137,16,137
2024-02-27,R,4,4,4
2024-02-28,A,4,3,4
2024-02-28,P,349,16,349
2024-02-28,R,1,1,1
2024-02-29,A,9,7,8
2024-02-29,P,442,37,435
2024-02-29,R,25,6,24
2024-03-01,A,3,3,3
2024-03-01,P,288,25,288
2024-03-01,R,2,1,1
2024-03-02,R,7,1,7
2024-03-02,A,2,2,2
2024-03-02,P,166,15,162
2024-03-03,A,4,3,3
2024-03-03,P,120,13,117
2024-03-03,R,2,1,2
2024-03-04,A,2,2,1
2024-03-04,P,328,19,297
2024-03-04,R,18,3,18
2024-03-05,A,2,2,2
2024-03-05,P,225,14,224
2024-03-05,R,1,1,1
2024-03-06,R,2,2,2
2024-03-06,A,4,2,4
2024-03-06,P,217,18,202
2024-03-07,P,173,17,168
2024-03-08,R,1,1,1
2024-03-08,P,44,5,44
2024-03-09,R,2,2,2
2024-03-09,A,2,2,1
2024-03-09,P,309,19,303
2024-03-10,A,3,2,3
2024-03-10,P,205,24,204
2024-03-10,R,1,1,1
2024-03-11,A,56,13,9
2024-03-11,P,483,23,336
2024-03-11,R,14,2,14
2024-03-13,A,9,3,6
2024-03-13,P,62,9,61
2024-03-14,A,6,3,4
2024-03-14,P,37,7,37
2024-03-15,A,7,3,4
2024-03-15,P,205,20,195
2024-03-15,R,4,2,4
2024-03-16,R,2,2,2
2024-03-16,P,168,15,168
2024-03-16,A,2,2,2
2024-03-17,A,3,3,2
2024-03-17,P,105,14,104
2024-03-17,R,1,1,1
2024-03-18,P,84,10,84
2024-03-19,A,11,5,4
2024-03-19,P,323,15,295
2024-03-20,A,6,4,5
2024-03-20,P,295,22,284
2024-03-21,A,2,2,2
2024-03-21,P,60,8,60
2024-03-21,R,4,3,4
2024-03-22,A,17,8,13
2024-03-22,P,225,14,198
2024-03-22,R,3,2,3
2024-03-23,R,8,2,8
2024-03-23,P,50,14,50
2024-03-23,A,5,2,5
2024-03-24,A,2,2,2
2024-03-24,P,118,10,118
2024-03-24,R,3,3,3
2024-03-25,A,5,1,5
2024-03-25,P,64,9,64
2024-03-25,R,2,2,2
2024-03-26,A,30,8,9
2024-03-26,P,192,14,142
2024-03-26,R,4,2,4
2024-03-27,A,20,5,11
2024-03-27,P,106,13,88
2024-03-28,A,15,3,12
2024-03-28,P,48,6,47
2024-03-29,P,86,14,85
2024-03-29,A,8,6,7
2024-03-30,A,1,1,1
2024-03-30,P,59,8,59
2024-03-31,A,2,2,2
2024-03-31,P,171,12,170
2024-04-01,P,84,8,84
2024-04-02,A,3,3,3
2024-04-02,P,96,7,96
2024-04-03,A,6,4,5
2024-04-03,P,116,6,116
2024-04-04,P,32,5,32
2024-04-05,A,2,2,2
2024-04-05,P,104,11,104
2024-04-06,A,1,1,1
2024-04-06,P,79,8,79
2024-04-07,R,3,1,3
2024-04-07,P,103,10,103
2024-04-07,A,1,1,1
2024-04-08,P,45,4,44
2024-04-09,P,17,3,17
2024-04-10,P,112,7,112
2024-04-12,P,12,5,12
2024-04-12,R,1,1,1
2024-04-13,A,1,1,1
2024-04-13,P,64,8,64
2024-04-14,A,1,1,1
2024-04-14,P,136,8,136
2024-04-15,P,63,2,63
2024-04-16,P,86,7,86
2024-04-16,R,1,1,1
2024-04-17,P,114,4,114
2024-04-17,R,1,1,1
2024-04-18,P,97,5,97
2024-04-18,A,1,1,1
2024-04-19,A,4,3,3
2024-04-19,P,156,10,154
2024-04-19,R,1,1,1
2024-04-20,A,1,1,1
2024-04-20,P,95,7,95
2024-04-20,R,1,1,1
2024-04-21,A,1,1,1
2024-04-21,P,127,5,127
2024-04-22,P,65,5,65
2024-04-22,R,1,1,1
2024-04-23,A,35,5,16
2024-04-23,P,152,14,127
2024-04-23,R,2,2,2
2024-04-24,R,1,1,1
2024-04-24,P,52,6,52
2024-04-24,A,8,3,7
2024-04-25,A,2,2,2
2024-04-25,P,81,11,81
2024-04-26,A,1,1,1
2024-04-26,P,107,10,105
2024-04-27,A,4,3,4
2024-04-27,P,88,11,88
2024-04-27,R,7,3,7
2024-04-28,A,3,2,2
2024-04-28,P,254,12,254
2024-04-28,R,2,2,2
2024-04-29,P,106,6,106
2024-04-30,A,1,1,1
2024-04-30,P,115,7,115
2024-04-30,R,16,1,16
2024-05-01,R,1,1,1
2024-05-01,A,9,5,5
2024-05-01,P,98,12,96
2024-05-02,A,4,2,4
2024-05-02,P,133,9,125
2024-05-03,P,114,8,114
2024-05-03,R,2,1,2
2024-05-04,A,2,2,2
2024-05-04,P,94,7,94
2024-05-05,A,14,8,11
2024-05-05,P,138,15,138
2024-05-06,A,3,3,3
2024-05-06,P,345,12,345
2024-05-06,R,1,1,1
2024-05-07,A,2,2,2
2024-05-07,P,84,8,84
2024-05-08,P,19,8,19
2024-05-08,R,1,1,1
2024-05-09,P,26,7,26
2024-05-09,A,3,2,2
2024-05-09,R,1,1,1
