cluster_label,user_count,sent_vote_count_d0_7,sent_vote_active_days_d0_7,sent_vote_distinct_chosen_users_d0_7,sent_vote_distinct_questions_d0_7,sent_vote_complete_rate_d0_7,hackle_question_start_count_d0_7,hackle_question_completion_rate_d0_7,received_vote_count_d0_7,received_vote_days_d0_7,received_vote_count_d0_3,received_vote_read_count_d0_7,received_vote_read_rate_d0_7,unread_received_vote_count_d0_7,early_received_score_d0_7,friend_count,same_class_active_d0_7,same_grade_active_d0_7,candidate_exposure_count_d0_7,candidate_unique_question_count_d0_7,candidate_to_recv_rate_d0_7,pending_votes,same_school_joined_user_count,same_class_total_users,same_grade_total_users,same_class_active_ratio_d0_7,same_grade_active_ratio_d0_7,candidate_exposure_days_d0_7
"저활동·저관계·중적체 (n=338,658)",338658,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.002,49.775,8.556,66.879,0.025,0.025,0.0,104.331,170.619,9.873,70.449,0.935,0.951,0.011
"저활동·고관계·저적체 (n=298,048)",298048,0.003,0.0,0.001,0.003,0.0,0.05,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.004,60.758,15.307,128.236,0.054,0.053,0.0,68.421,254.64,16.608,132.313,0.981,0.976,0.021
"고활동·고관계·고적체 (n=11,905)",11905,75.351,2.327,13.367,61.81,0.375,0.0,0.0,72.635,5.355,45.06,42.952,0.633,29.682,6.995,64.433,14.004,161.194,280.159,205.774,0.303,107.549,384.482,15.305,165.923,0.97,0.973,7.206
