cluster_label,sent_vote_complete_rate_d0_7,hackle_question_completion_rate_d0_7,received_vote_count_d0_7,received_vote_days_d0_7,received_vote_count_d0_3,received_vote_read_count_d0_7,received_vote_read_rate_d0_7,unread_received_vote_count_d0_7,early_received_score_d0_7,friend_count,same_class_active_d0_7,same_grade_active_d0_7,candidate_exposure_count_d0_7,candidate_unique_question_count_d0_7,candidate_to_recv_rate_d0_7,pending_votes
저활동·저관계·적체,-0.086,-0.005,-0.131,-0.134,-0.125,-0.125,-0.116,-0.101,-0.134,-0.189,-0.527,-0.569,-0.134,-0.134,-0.117,0.226
저활동·고관계·비적체,-0.085,0.007,-0.129,-0.131,-0.125,-0.124,-0.112,-0.099,-0.132,0.202,0.585,0.612,-0.122,-0.121,-0.115,-0.264
고활동·고관계·적체,4.558,-0.022,6.964,7.083,6.681,6.65,6.083,5.354,7.109,0.304,0.35,0.844,6.841,6.841,6.203,0.182
