cluster_label,user_count,retention_d1_28_rate,retention_d8_28_rate,payment_d0_28_rate,payment_d8_28_rate,payment_d0_28_count_mean,payment_d0_28_count_sum,payment_d0_28_paid_user_count,payment_d8_28_count_mean,payment_d8_28_count_sum,payment_d8_28_paid_user_count,payment_d0_28_amount_mean,payment_d0_28_amount_sum,payment_d8_28_amount_mean,payment_d8_28_amount_sum,active_days_d0_28_mean,active_days_d0_28_sum,active_days_d0_28_active_user_count,active_days_d8_28_mean,active_days_d8_28_sum,active_days_d8_28_active_user_count,sent_vote_count_d0_7_mean,sent_vote_count_d0_7_sum,sent_vote_user_count_d0_7,received_vote_count_d0_7_mean,received_vote_count_d0_7_sum,received_vote_user_count_d0_7,candidate_exposure_count_d0_7_mean,candidate_exposure_count_d0_7_sum,candidate_exposed_user_count_d0_7,attendance_after_received_vote_rate,point_use_after_received_vote_rate,payment_after_received_vote_rate,sender_axis_score_mean,receiver_axis_score_mean,network_axis_score_mean,payment_d0_28_count_paid_user_mean,payment_d0_28_amount_paid_user_mean,payment_d8_28_count_paid_user_mean,payment_d8_28_amount_paid_user_mean,active_days_d0_28_active_user_mean,active_days_d8_28_active_user_mean,sent_vote_count_d0_7_sender_mean,received_vote_count_d0_7_receiver_mean,candidate_exposure_count_d0_7_exposed_user_mean,cluster_share_pct
저활동·저관계·적체,338658,41.011,35.959,7.996,2.276,0.124,41846,27079,0.033,11075,7709,98.538,33370716,25.422,8609485,4.717,1597571,328681,1.424,482245,181706,0.0,92,8,0.001,238,215,0.025,8354,1325,0.021,0.0,0.001,-0.045,-0.124,-0.206,1.545,1232.347,1.437,1116.81,4.861,2.654,11.5,1.107,6.305,52.21
저활동·고관계·비적체,298048,50.646,48.198,9.095,2.747,0.147,43923,27107,0.041,12099,8188,119.437,35597922,32.219,9602936,5.793,1726569,294959,1.831,545633,194457,0.003,851,27,0.001,432,400,0.054,15998,2069,0.048,0.0,0.007,-0.039,-0.122,0.111,1.62,1313.237,1.478,1172.806,5.854,2.806,31.519,1.08,7.732,45.95
고활동·고관계·적체,11905,35.859,33.784,7.173,2.638,0.112,1332,854,0.037,441,314,89.18,1061687,29.404,350059,10.803,128610,11850,4.822,57404,9520,75.351,897055,4727,72.635,864714,11905,280.159,3335287,11905,35.817,38.16,6.636,2.268,6.561,3.081,1.56,1243.193,1.404,1114.838,10.853,6.03,189.773,72.635,280.159,1.84
